Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL
2024-02-12,BLK,34,0.74,0.85,3.42,-2.0,60375.0,BLK_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.74,0.74,1,True,801.76,798.33,3.42999999999995
2024-02-12,PNC,32,0.75,1.17,3.4,-2.52,60056.0,PNC_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,0.75,0.75,0.75,1,False,149.14,147.03115,2.1088499999999897
2024-02-12,FITB,19,0.74,1.66,5.18,-2.3,60029.0,FITB_Up_0.5_opendia_Afastado_0.5_Buy_Corpo,opendia_0.005,0.75,0.74,0.74,1,True,34.11,33.8685,0.24150000000000205
2024-02-12,SNPS,17,0.76,1.59,5.41,-3.09,59922.0,SNPS_Up_0.5_open_Afastado_-0.5_Sell_Movimento,571.47,1.0,0.76,0.76,1,True,568.93,571.47,2.5400000000000773
2024-02-12,MTB,25,0.72,1.4,5.19,-2.75,59888.0,MTB_Down_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,0.75,0.72,0.72,1,True,136.73,133.31,3.4199999999999875
2024-02-12,SPG,31,0.71,1.08,4.07,-1.76,59881.0,SPG_Up_0.5_opendia_Afastado_-0.5_Buy_Movimento,opendia_-0.005,1.0,0.71,0.71,1,True,145.7,146.25505,-0.5550500000000227
2024-02-12,SCHW,31,0.77,1.12,4.28,-2.57,59816.0,SCHW_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,1.0,0.77,0.77,1,False,64.5,62.99345,1.5065499999999972
2024-02-13,REGN,28,0.79,1.02,3.56,-2.02,65704.0,REGN_Down_0.5_close_Afastado_-0.5_Buy_Movimento,942.32,0.75,0.79,0.79,1,True,940.48,942.32,-1.8400000000000318
2024-02-13,WSM,35,0.71,1.48,5.88,-2.12,65622.0,WSM_Up_0.5_opendia_Afastado_0.5_Buy_Pavio,opendia_0.005,0.75,0.71,0.71,1,True,111.02,110.42939999999999,0.5906000000000091
2024-02-13,FTNT,24,0.79,1.64,4.63,-2.4,64423.0,FTNT_Down_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.79,0.79,1,True,69.4,68.52,0.8800000000000097
